station;plaats;sinds;meting;WMO;stad;lat;lon
210;Valkenburg;19510101;gisteren;6210; Valkenburg;52.18333333;4.416666667
215;Voorschoten;20140715;gisteren;;;;
225;IJmuiden;19710101;gisteren;6225; IJmuiden;52.46666667;4.566666667
235;De Kooy;19060101;gisteren;6235; De Kooy;52.91666667;4.783333333
240;Schiphol;19510101;gisteren;6240; Schiphol;52.3;4.766666667
242;Vlieland;19801001;gisteren;6242; Vlieland LH;53.25;4.95
249;Berkhout;19990312;gisteren;6249; Berkhout;52.65;4.983333333
251;Hoorn (Terschelling);19940526;gisteren;6251; Hoorn Terschelling;53.38333333;5.35
257;Wijk aan Zee;20010430;gisteren;;;;
260;De Bilt;19010101;gisteren;6260; De Bilt;52.1;5.183333333
265;Soesterberg;19510901;20081118;6265; Soesterberg;52.13333333;5.283333333
267;Stavoren;19900618;gisteren;6267; Stavoren;52.88333333;5.383333333
269;Lelystad;19900117;gisteren;6269; Lelystad;52.45;5.533333333
270;Leeuwarden;19510101;gisteren;6270; Leeuwarden;53.21666667;5.766666667
273;Marknesse;19890101;gisteren;6273; Marknesse;52.7;5.883333333
275;Deelen;19510101;gisteren;6275; Deelen;52.06666667;5.883333333
277;Lauwersoog;19910318;gisteren;6277; Lauwersoog;53.41666667;6.2
278;Heino;19891013;gisteren;6278; Heino;52.43333333;6.266666667
279;Hoogeveen;19890926;gisteren;6279; Hoogeveen;52.73333333;6.516666667
280;Eelde;19060101;gisteren;6280; Eelde;53.13333333;6.583333333
283;Hupsel;19891016;gisteren;6283; Hupsel;52.06666667;6.65
286;Nieuw Beerta;19900117;gisteren;6286; Nieuw Beerta;53.2;7.15
290;Twenthe;19510101;gisteren;6290; Twenthe;52.26666667;6.9
310;Vlissingen;19060101;gisteren;6310; Vlissingen;51.45;3.6
319;Westdorpe;19910625;gisteren;6319; Westdorpe;51.23333333;3.833333333
323;Wilhelminadorp;19891102;20140107;6323; Wilhelminadorp;51.53333333;3.9
330;Hoek van Holland;19710101;gisteren;6330; Hoek v Holland;51.98333333;4.1
340;Woensdrecht;19930401;gisteren;6340; Woensdrecht;51.45;4.333333333
344;Rotterdam;19561001;gisteren;6344; Zestienhoven;51.95;4.45
348;Cabauw;19860301;gisteren;6348; Meetmast Cabauw;51.96666667;4.933333333
350;Gilze-Rijen;19510101;gisteren;6350; Gilze Rijen;51.56666667;4.933333333
356;Herwijnen;19890926;gisteren;6356; Herwijnen;51.86666667;5.15
370;Eindhoven;19510101;gisteren;6370; Eindhoven;51.45;5.416666667
375;Volkel;19510201;gisteren;6375; Volkel;51.65;5.7
377;Ell;19990501;gisteren;6377; Ell;51.2;5.766666667
380;Maastricht;19060101;gisteren;6380; Zuid Limburg;50.91666667;5.783333333
391;Arcen;19900618;gisteren;6391; Arcen;51.5;6.2
